 movies,,sports,,song,,news channels,,science & tech,
Full Name,Screen Name,Full Name,Screen Name,Full Name,Screen Name,Full Name,Screen Name,Full Name,Screen Name
Amitabh Bachchan,@SrBachchan,Mahendra Singh Dhoni,@msdhoni,Shreya Ghoshal,@shreyaghoshal,ravish kumar,@ravishndtv,sundarpichai,@sundarpichai
Aamir Khan,@aamir_khan,Sachin Tendulkar,@sachin_rt,Jassie Gill,@jassi1gill,Rohit Sardana,@sardanarohit,Sachin Bansal,@_sachinbansal
Priyanka,@priyankachopra,Pvsindhu,@Pvsindhu1,DEVI SRI PRASAD,@ThisIsDsp,Hamid Mir,@HamidMirPAK,anand mahindra,@anandmahindra
Farhan Akhtar,@FarOutAkhtar,Saina Nehwal,@NSaina,Ankit Tiwari,@officiallyAnkit,,,Ronnie Screwvala,@RonnieScrewvala
Deepika Padukone,@deepikapadukone,Sania Mirza,@MirzaSania,Amaal Mallik,@AmaalMallik,Sanjay Pugalia,@sanjaypugalia,Harsh Goenka,@hvgoenka
Shah Rukh Khan,@iamsrk,Virat Kohli,@iamVkohli,Tulsi Kumar,@TulsikumarTK,Sudhir Chaudhary,@sudhirchaudhary,Dr. Sanjay Gupta,@drsanjaygupta
Salman Khan,@BeingSalmanKhan,Sourav Ganguly,@SGanguly99,ARMAAN MALIK,@ArmaanMalik22,Sumit Awasthi ,@awasthis,Satya Nadella,@satyanadella
Akshay Kumar,@akshaykumar,Sakshi Malik,@SakshiMalik,Neeti Mohan,@neetimohan18,sumaira,@sumairakh,Pranav Mistry,@pranavmistry 
Karan Johar ,@karanjohar,Pankaj Advani,@PankajAdvani247,Aditi Singh Sharma,@ADTSinghSharma,Kishore Ajwani,@KishoreAjwani,Sam Pitroda,@sampitroda
Ranveer Singh,@RanveerOfficial,Mary Kom,@MangteC,Sunidhi Chauhan,@SunidhiChauhan5,Anjana Om Kashyap,@anjanaomkashyap,Sadanand Dhume,@dhume
Anushka Sharma,@AnushkaSharma,Abhinav Bindra,@Abhinav_Bindra,Shaan,@singer_shaan,Neha Pant,@nehapant19,Karthik,@beastoftraal
Alia Bhatt,@aliaa08,Sushil Kumar,@WrestlerSushil,VISHAL DADLANI,@VishalDadlani,Ajit Anjum,@ajitanjum,Mahesh Murthy,@maheshmurthy
Abish Mathew,@abishmathew,Dipika P Karthik,@DipikaPallikal,Shekhar Ravjiani,@ShekharRavjiani,milind khadekar,@milindkhandekar,Alok Kejriwal,@rodinhood
Mohanlal,@Mohanlal,Gutta Jwala,@Guttajwala,salim merchant,@salim_merchant,Dibang,@dibang,Nikhil Pahwa,@nixxin
Jaqueline Fernandez,@Asli_Jacqueline,Mahesh Bhupathi,@Maheshbhupathi,sulaiman merchant,@Sulaiman,punya prasun bajpai,@ppbajpai,Vijay Shekhar,@vijayshekhar
Hrithik Roshan,@iHrithik,Ravindrasinh jadeja,@imjadeja,Shankar Mahadevan,@Shankar_Live,Manak Gupta,@manakgupta,Kunal Bahl,@1kunalbahl
Rajinikanth,@superstarrajini,geeta phogat,@geeta_phogat,ashabhosle,@ashabhosle,Rahul Kanwal,@rahulkanwal,Vishal Gondal,@vishalgondal
rajamouli ss,@ssrajamouli,Babita Phogat,@BabitaPhogat,,,Sagarika Ghose,@sagarikaghose,Rohit Bansal,@rohitkbansal
SHILPA SHETTY KUNDRA,@TheShilpaShetty,Ashwini Ponnappa,@P9Ashwini,Neha Kakkar,@iAmNehaKakkar,Vikram Chandra,@vikramchandra,Kunal Shah,@kunalb11
,,yuvraj singh,@YUVSTRONG12,Anirudh Ravichander,@anirudhofficial,sonia singh,@soniandtv,Bavish Aggarwal,@bhash
Shahid Kapoor,@shahidkapoor,Virender Sehwag,@virendersehwag,Karthik singer,@singer_karthik,vir sanghvi,@virsanghvi,Naveen Tewari,@NaveenTewari
Sonakshi,@sonakshisinha,Joshna Chinappa,@joshnachinappa,Sreerama Chandra,@Sreeram_singer,Shiv Aroor,@ShivAroor,Deepinder Goyal,@deepigoyal
Anupam Kher,@AnupamPkher,GAGAN NARANG,@gaGunNarang,Atif Aslam,@itsaadee,Ran Ayyub,@RanaAyyub,punitsoni,@punitsoni
Boman Irani,@bomanirani,Narain Karthikeyan,@narainracing,kanika kapoor,@TheKanikakapoor,Shekhar Gupta,@ShekharGupta,Kiran Jonnalagadda,@jackerhack
RIYA SOMANI,@ShraddhaKapoor,Viswanathan Anand,@vishy64theking,,,Harsha Bhogle,@bhogleharsha,Rahul Sharma,@rahulsharma
,,Leander Paes,@Leander,Yo Yo Honey Singh,@asliyoyo,Narayan Lakshman,@narlak,Kiran Mazumdar Shaw,@kiranshaw
Varun Dhawan,@Varun_dvn,Rajyavardhan Rathore,@Ra_THORe,Harshit Saxena,@HarshitHaaleDil,Sunil Jain,@thesuniljain,Ratan N. Tata,@RNTata2000
Madhuri Dixit-Nene,@MadhuriDixit,Rohit Sharma,@ImRo45,Amit Trivedi,@itsAmitTrivedi,Chitra Subramaniam,@chitraSD,,
BINDU,@ParineetiChopra,Gautam Gambhir,@GautamGambhir,pritam,@ipritamofficial,Dhanya Rajendran,@dhanyarajendran,Uday Kotak,@udaykotak
Amy Jackson,@iamAmyJackson,Kapil Dev,@therealkapildev,KK,@K_K_Pal,Sumanth Raman,@sumanthraman,Vani kola,@VaniKola
Kabir Khan,@kabirkhankk,Geet Sethi,@geetssethi,Wajid Khan,@wajidkhan7,Ramanathan S,@madarassi,Anand Chandrasekaran,@anandc
Anurag Kashyap,@anuragkashyap72,Vijender Singh,@boxervijender,,,Anupama Chopra,@anupamachopra,Ritesh Agarwal,@riteshagar
Rakeysh Mehra,@RakeyshOmMehra,Anil Kumble,@anilkumble1074,Harshdeep Kaur,@HarshdeepKaur,Rajeev Masand,@RajeevMasand,Ravi Gururaj,@ravigururaj
Preity zinta,@realpreityzinta,VVS Laxman,@VVSLaxman281,Shilpa Rao,@shilparao11,GAURAV C SAWANT,@gauravcsawant,,
,,Anjum Chopra,@chopraanjum,Benny Dayal,@Benny_Dayal,madhu trehan,@madhutrehan,Nikesh Arora,@nikesharora
Rakesh Roshan,@RakeshRoshan_N,Shikar Dhawan,@SDhawan25,Midival Punditz,@MidivalPunditz,Aniruddha Ghosal,@aniruddhg1,Shashank ND,@shashanknd
Mahesh Bhatt,@MaheshNBhatt,Unmukt Chand,@UnmuktChand9,Manoj Tiwari,@ManojTiwariMP,Pritha Chatterjee,@Pritha88,Amitabh Kant,@amitabhk87
Shekhar Kapur,@shekharkapur,ajinkyarahane88,@ajinkyarahane88,Shweta Pandit,@ShwetaPandit7,,,Shashank Joshi,@shashj
SRIDEVI BONEY KAPOOR,@SrideviBKapoor,Suresh Raina,@ImRaina,Anushka Manchanda ,@IAmAnushka,Rukmini S,@Rukmini,Arvind Panagariya,@APanagariya
John Abraham,@TheJohnAbraham,Harmanpreet Kaur,@ImHarmanpreet,Anusha,@VJAnusha,Papa CJ,@PapaCJ,Tinu Cherian Abraham,@tinucherian
Kajol,@KajolAtUN,Shiva Thapa,@shivathapa,Jonita,@jonitamusic,taran adarsh,@taran_adarsh,Anupam Mittal,@AnupamMittal
Abhishek Bachchan,@juniorbachchan,Karun Chandhok,@karunchandhok,Neha Bhasin,@nehabhasin4u,Anuradha Goyal,@anuradhagoyal,Amit Kumar,@akumar
Ranganathan Madhavan,@ActorMadhavan,Rohan Bopanna,@rohanbopanna,SONA ,@sonamohapatra,Siddharth V Patankar,@sidpatankar,Sampad Swain,@sampad
shruti haasan,@shrutihaasan,Vijay Amritraj,@Vijay_Amritraj,Mohit Chauhan,@_MohitChauhan,Renuka Kirpalani,@Renuks,,
Ajay Devgn,@ajaydevgn,Satnam Singh Bhamara,@hellosatnam,thaman S,@MusicThaman,RJ ALOK,@OYERJALOK,Ankur Agarwal,@annkur
Kamal Haasan,@ikamalhaasan,Ashwin Ravichandran,@ashwinravi99,SingerGeethaMadhuri,@geethasinger,Rj Sayema,@Rjsayema,Sahil Kapur,@sahilkapur
Juhi Chawla,@iam_juhi,Dipa Karmakar,@DipaKarmakar,Palak Muchhal,@palakmuchhal3,,,Avinash Kaushik,@avinash
Raveena Tandon,@TandonRaveena,Aditi Ashok,@aditigolf,AKRITI KAKAR,@AKRITIMUSIC,Anjana Rangan,@AnjanaVJ,Vinod Khosla,@vkhosla
Sushant Singh Rajput,@itsSSR,Anirban Lahiri,@anirbangolf,A.R.Rahman,@arrahman,RJ Balaji,@RJ_Balaji,Deepak Abbot,@deepakabbot
Jr NTR,@tarak9999,zaheer khan,@ImZaheer,Ankur Tewari,@ankurtewari,shilpi tewari ,@shilpitewari,miten,@miten
Mahesh Babu,@urstrulyMahesh,cheteshwar pujara,@cheteshwar1,Rahat Fateh Ali Khan,@RFAKWorld,Madhavan Narayan,@madversity,Satyan Gajwani,@satyan
Nagarjuna Akkineni,@iamnagarjuna,Umesh Yaadav,@y_umesh,Gippy Grewal,@igippygrewal,Sachin Kalbag,@SachinKalbag,Anand Jain,@helloanand
,,Bhuvaneshwar Kumar,@BhuviOfficial,DILJIT DOSANJH,@diljitdosanjh,Smita Prakash,@smitaprakash,Kavin Bharti Mittal,@kavinbm
Hansika,@ihansika,Irfan Pathan,@IrfanPathan,,,Abhijit Majumder,@abhijitmajumder,Himanshu Khanna,@SparklinGuy
Samantha Ruth Prabhu,@SamanthaPrabhu2,praveen kumar,@praveenkumar,BADSHAH,@Its_Badshah,Suhasini Haidar,@suhasinih,binny bansal,@binnybansal
Genelia Deshmukh,@geneliad,Ishant Sharma,@ImIshant,RaftaaR,@raftaarmusic,Malini Parthasarathy,@MaliniP,Manu Kumar Jain,@manukumarjain
Riteish Deshmukh,@Riteishd,Pragyan Ojha,@pragyanojha,Praveen Achary,@praveenachary,bhupendra chaubey,@bhupendrachaube,Narayanan Hariharan,@narayananh
,,Manoj Tiwary,@Tiwarymanoj,Arjun Vagale,@ArjunVagale,,,Sharad Sagar,@SharadTalks
Ravindra Gautam,@RavindraGautam,DK,@DineshKarthik,Nikhil Chinapa,@nikhilchinapa,Anubha Bhonsle,@anubhabhonsle,Raghunath Mashel,@rameshmashelkar
Mallika Sherawat,@mallikasherawat,Ashoke Dinda,@dindaashoke,Babbu Maan,@BabbuMaan,Prabhu Chawla,@PrabhuChawla,Tushar kanwar,@2shar
Bipasha Basu,@bipsluvurself,,,Sharry Mann,@iSharryMann,Prannoy Roy,@PrannoyRoyNDTV,Srinivas Kulkarni,@srinistuff
SAIRA Kriti Sanon,@kritisanon,Varun Aaron,@VarunAaron,Satinder Sartaaj,@SufiSartaaj,Pritish Nandy,@PritishNandy,Tirthest Ganatra,@GanatraT
Disha Patani,@DishPatani,Vinay Kumar R,@Vinay_Kumar_R,Kumar Sanu ,@SingerKumarSanu,MadhuPurnima Kishwar,@madhukishwar,Vijay Sharma,@vijaysw
Kiara Ali Advani,@Advani_Kiara,,,Javed Ali ,@javedali4u,Shobhaa De,@DeShobhaa,Zainab Bawa,@zainabbawa
Madhav Jha,@arjunk26,Robin Aiyuda Uthappa,@robbieuthappa,SANAM,@Sanam_Official,SUHEL SETH,@suhelseth,Vikas SN,@tsuvik
Ileana D'Cruz,@Ileana_Official,K L Rahul,@klrahul11,Navin Kundra,@NavinKundra,Adithya Chakrabortty,@chakrabortty,Shyam Somanadh,@codelust
Nargis,@NargisFakhri,Yusuf Pathan,@iamyusufpathan,Daler Mehndi,@dalermehndi,amrita tripathi,@amritat,,
Diana Penty,@DianaPenty,Sunil Chhetri,@chetrisunil11,Abhijeetsawant,@abhijeetsawant5,Raghuvendra Singh,@raghuvendras,Sahil Khan,@sahilk
Aditi Rao Hydari,@aditiraohydari,robin singh,@robin_singh_23,Shraddha Sharma,@shraddhasharma6,,,Rohan Dhige,@irohan
Freida Pinto,@BecauseImFreida,Yogeshwar Dutt ,@DuttYogi,Smita,@smitapop,menaka doshi,@menakadoshi,Shiladitya M,@shiladitya
AMRITHA RAO,@AmritaRao,joydeep karmakar,@Joydeep709,GANESH HEGDE,@GANESHHEGDE,Shereen Bhan,@ShereenBhan,Pravin J,@BeingPractical
Yami  Gautam,@yamigautam,Heena SIDHU,@HeenaSidhu10,Shirley Setia,@ShirleySetia,Anuj Singhal,@_anujsinghal,Paras Chopra,@paraschopra
Huma Qureshi,@humasqureshi,Ayonika Paul,@AyonikaPaul,Jazzy B,@jazzyb,Sonia Shenoy,@_soniashenoy,Namita Ved,@Namitaved
,,Rupinder Pal Singh,@rupinderbob3,Sukshinder Shinda,@SukshnderShinda,Varinder Bansal,@varinder_bansal,Mekin,@_mekin
Sonali Bendre Behl,@iamsonalibendre,Manpreet Singh,@manpreetpawar07,JAZ DHAMI,@THEJAZDHAMI,barkha dutt,@BDUTT,Indus Khaitan,@1ndus
Twinkle Khanna,@mrsfunnybones,sreejesh p r,@16Sreejesh,Dr Zeus,@drzeusworld,Abhigyan Prakash,@Abhigyan_AP,Harshad Sharma,@hiway
Rishi Kapoor,@chintskap,devindar walmiki,@DWalmiki,Richa Sharma,@TheRichaSharma,Neelesh Misra,@neeleshmisra,Mahafreed Irani,@mahafreed
Allu Arjun,@alluarjun,Apurvi Chandela,@apurvichandela,Manmeet-Meet Bros,@Mann_meetbros,Yashwant Deshmukh,@YRDeshmukh,Jubin Mehta,@jub_in
Pooja Hegde,@hegdepooja,Tushar khandker,@tusharkhandker,Befikra Harmeet,@MeetBrosHarmeet,Nidhi Razdan,@RazdanNidhi,,
Trisha Krishna,@trishtrashers,Mouma Das,@MoumaDasTT,KARSH KALE,@karshkalemusic,Rana Ayyub,@RanaAyyub,Deobrat Singh,@deobrat
Dhanush,@dhanushkraja,Raghunath VR,@raghuhock,vijay prakash,@rvijayprakash,nikhil wagle,@waglenikhil,Deven Shah,@devenGoa
PURI JAGAN,@purijagan,Uthappa SK,@Uthappask,Srinivas singer,@singersrinivas,hari sreenivasan,@hari,Apurva Chaudhary,@unitechy
Sanjay Dutt,@duttsanjay,Poonam Rani Malik 15,@PoonamHockey,Yuvanshankar raja,@thisisysr,Sweta Singh,@SwetaSinghAT,Ashish Sharma ,@pocha
Uday Chopra,@udaychopra,Rani Rampal,@imranirampal,MANJmusik,@MANJmusik,palki sharma,@palkisu,Avlesh Singh,@avlesh
Soha Ali Khan,@sakpataudi,Vinesh Phogat,@phogat_vinesh,Roach Killa,@roachkilla1,Ramachandra Guha,@Ram_Guha,ArjunRam,@arjunram
Farah Khan,@TheFarahKhan,Kidambi Srikanth,@srikidambi,H DHAMI ,@HDHAMIMUSIC,Nistula Hebbar,@nistula,Gautam Gandhi,@gkgandhi
Sunny Leone,@SunnyLeone,PRANNOY HS,@PRANNOYHSPRI,RISHI RICH,@MusicByRR,Swati Chaturvedi,@bainjal,Kris Nair,@krisnair
Tiger Shroff,@iTIGERSHROFF,Parupalli Kashyap,@parupallik,JUGGY D,@JuggyD,Zakka Jacob,@Zakka_Jacob,Avinash Raghava,@avinashraghava
,,WrestlerRitu,@PhogatRitu,Dipps Bhamrah,@DippsBhamrah,Rifat Jawaid,@RifatJawaid,Amit Somani,@amitsomani
Tamannaah Bhatia ,@tamannaahspeaks,Viren Rasquinha,@virenrasquinha,Babul Supriyo,@SuPriyoBabul,,,Anu Sharma,@anusharma
Prabhudheva,@PDdancing,Somdev Devvarman,@SomdevD,Master Saleem,@1mastersaleem,Padmaja joshi,@PadmajaJoshi,Ashish Sinha,@cnha
arvind swami,@thearvindswami,Boxer Manoj Kumar,@BoxerManojkr,Tony Sebastian,@StonyPsyko,Aditya Raj Kaul,@AdityaRajKaul,Geetanjali Chitnis,@geetanjalic
sonu sood,@SonuSood,Ajay Jayaram,@ajay_289,Tony Kakkar,@TonyKakkar,Rahul Shivshankar,@RShivshankar,Lakshmipathy Bhat,@bhatnaturally
Kajal Aggarwal,@MsKajalAggarwal,,,Sonu Kakkar,@SonuKakkar,Rahul Pandita,@rahulpandita,Kulin Shah,@nowentrepreneur
Pawan Kalyan,@PawanKalyan,SV Sunil,@SVSunil24,Sachin Jigar,@SachinJigarLive,Mihir Sharma,@mihirssharma,Mahesh Narayanan,@mahesh10feb
Radhika Apte,@radhika_apte,Manu Atri,@AtriManu,divya kumar,@aslidivyakumar,Saikat Datta,@saikatd,Naman Sarawagi,@NamanSr
Nawazuddin Siddhiqui,@Nawazuddin_S,Yuvraj Walmiki,@YWalmiki,Jasmine Sandlas,@JasmineSandlas,Rubika Liyaquat,@RubikaLiyaquat,Prajyot Mainkar,@prajyotm
atul kulkarni,@atul_kulkarni,Sharmila Nicollet,@Missnicollet,Shalmali Kholgade,@itsShalmali,,,Preetham VV,@vvpreetham
Siddharth,@Actor_Siddharth,Parvinder Singh,@pindilahoria13,Nakash Aziz,@AzizNakash,Pankaj Pachauri,@PankajPachauri,Sameer Shisodia,@zenx
,,Mandeep Singh,@mandeepsingh995,,,AMISH DEVGAN,@AMISHDEVGAN,Rina Shah,@rinashah
