@SrBachchan,Amitabh Bachchan,30225331
@iamsrk,Shah Rukh Khan,29243279
@BeingSalmanKhan,Salman Khan,26819121
@aamir_khan,Aamir Khan,22111875
@akshaykumar,Akshay Kumar,21282982
@deepikapadukone,Deepika Padukone,20972773
@sachin_rt,sachin tendulkar,20166507
@priyankachopra,PRIYANKA,19902987
@iHrithik,Hrithik Roshan,19711007
@arrahman,A.R.Rahman,17090061
@aliaa08,Alia Bhatt,13787151
@virendersehwag,Virender Sehwag,13070085
@karanjohar,Karan Johar,12871993
@AnushkaSharma,Anushka Sharma,12723859
@juniorbachchan,Abhishek Bachchan,12236891
@shahidkapoor,Shahid Kapoor,11414507
@sonakshisinha,Maya,11142522
@ImRaina,Suresh Raina,10868402
@AnupamPkher,Anupam Kher,10461004
@FarOutAkhtar,Farhan Akhtar,10274244
@ParineetiChopra,Parineeti Chopra,9769986
@Asli_Jacqueline,Jacqueline Fernandez,8939848
@ImRo45,Rohit Sharma,8567184
@Riteishd,Riteish Deshmukh,7532082
@ajaydevgn,Ajay Devgn,7521747
@ShraddhaKapoor,Shraddha,7310475
@RNTata2000,Ratan N. Tata,6963260
@RanveerOfficial,Ranveer Singh,6962050
@msdhoni,Mahendra Singh Dhoni,6674670
@BDUTT,barkha dutt,6449619
@MirzaSania,Sania Mirza,6447934
@bhogleharsha,Harsha Bhogle,6342684
@ashwinravi99,Ashwin Ravichandran,6148987
@Varun_dvn,Varun Dhawan,6074790
@shrutihaasan,shruti haasan,6063074
@dhanushkraja,Dhanush,5829292
@bipsluvurself,Bipasha Basu,5765794
@GautamGambhir,Gautam Gambhir,5732932
@anandmahindra,anand mahindra,5504432
@NSaina,Saina Nehwal,5457265
@shreyaghoshal,Shreya Ghoshal,5292596
@TheShilpaShetty,SHILPA SHETTY KUNDRA,5264136
@MadhuriDixit,Madhuri Dixit-Nene,4928729
@SamanthaPrabhu2,Samantha Akkineni,4915869
@YUVSTRONG12,yuvraj singh,4749292
@TheFarahKhan,Farah Khan,4691260
@anirudhofficial,Anirudh Ravichander,4529350
@suhelseth,SUHEL SETH,4519303
@bomanirani,Boman Irani,4456703
@urstrulyMahesh,Mahesh Babu,4393444
@geneliad,Genelia Deshmukh,4306784
@virsanghvi,vir sanghvi,4262426
@superstarrajini,Rajinikanth,4247257
@ImZaheer,zaheer khan,4236839
@realpreityzinta,Preity zinta,4197877
@HamidMirPAK,Hamid Mir,4139819
@trishtrashers,Trisha Krishnan,4112540
@asliyoyo,Yo Yo Honey Singh,4075008
@ashabhosle,ashabhosle,3995130
@arjunk26,Arjun Kapoor,3861464
@iamnagarjuna,Nagarjuna Akkineni,3764907
@mrsfunnybones,Twinkle Khanna,3695787
@rahulkanwal,Rahul Kanwal,3694784
@ssrajamouli,rajamouli ss,3648413
@NargisFakhri,Nargis,3628988
@SunidhiChauhan5,Sunidhi Chauhan,3617256
@sagarikaghose,Sagarika Ghose,3475882
@ihansika,Hansika,3469924
@Actor_Siddharth,Siddharth,3419256
@VVSLaxman281,VVS Laxman,3166317
@Mohanlal,Mohanlal,3079987
@ajinkyarahane88,ajinkyarahane88,3074143
@chintskap,Rishi Kapoor,3019190
@MaheshNBhatt,Mahesh Bhatt,2919219
@diljitdosanjh,DILJIT DOSANJH,2885238
@anilkumble1074,Anil Kumble,2865983
@vikramchandra,Vikram Chandra,2825763
@VishalDadlani,VISHAL DADLANI,2764982
@iam_juhi,Juhi Chawla,2649783
@SunnyLeone,Sunny Leone,2627488
@ikamalhaasan,Kamal Haasan,2603805
@IrfanPathan,Irfan Pathan,2570463
@drsanjaygupta,Dr. Sanjay Gupta,2557925
@RJ_Balaji,RJ Balaji,2488158
@mallikasherawat,Mallika Sherawat,2426392
@shekharkapur,Shekhar Kapur,2423728
@singer_shaan,Shaan,2416417
@DeShobhaa,Shobhaa De,2333798
@ThisIsDsp,DEVI SRI PRASAD,2316915
@taran_adarsh,taran adarsh,2296660
@ActorMadhavan,Ranganathan Madhavan,2224450
@boxervijender,Vijender Singh,2191519
@humasqureshi,Huma Qureshi,2147772
@DuttYogi,Yogeshwar Dutt,2113632
@TheJohnAbraham,John Abraham,2105241
@Ileana_Official,Ileana D'Cruz,2103684
@PawanKalyan,Pawan Kalyan,2075594
@tamannaahspeaks,Tamannaah Bhatia,2039568
@yamigautam,Yami Gautam,1992725
@PritishNandy,Pritish Nandy,1951295
@Shankar_Live,Shankar Mahadevan,1911265
@purijagan,PURI JAGAN,1901347
@nikhilchinapa,Nikhil Chinapa,1881900
@igippygrewal,Gippy Grewal,1873099
@Its_Badshah,BADSHAH,1846499
@RonnieScrewvala,Ronnie Screwvala,1811274
@ShekharRavjiani,Shekhar Ravjiani,1809567
@kritisanon,Kriti Sanon,1779191
@ShekharGupta,Shekhar Gupta,1742783
@madhukishwar,MadhuPurnima Kishwar,1741955
@iamAmyJackson,Amy Jackson,1735911
@ImIshant,Ishant Sharma,1725947
@alluarjun,Allu Arjun,1671476
@PDdancing,Prabhudheva,1652210
@Pvsindhu1,Pvsindhu,1621635
@Ram_Guha,Ramachandra Guha,1614694
@Tiwarymanoj,Manoj Tiwary,1607012
@duttsanjay,Sanjay Dutt,1593386
@SGanguly99,Sourav Ganguly,1483267
@udaychopra,Uday Chopra,1480952
@salim_merchant,salim merchant,1460967
@satyanadella,Satya Nadella,1445877
@sudhirchaudhary,Sudhir Chaudhary,1423085
@SDhawan25,Shikhar Dhawan,1393031
@y_umesh,Umesh Yaadav,1392915
@tarak9999,Jr NTR,1384135
@Nawazuddin_S,Nawazuddin Siddiqui,1380743
@TandonRaveena,Raveena Tandon,1375179
@imjadeja,Ravindrasinh jadeja,1361481
@Guttajwala,Gutta Jwala,1359445
@anupamachopra,Anupama Chopra,1350891
@SrideviBKapoor,SRIDEVI BONEY KAPOOR,1343268
@sakpataudi,Soha Ali Khan,1331069
@AnjanaVJ,Anjana Rangan,1313908
@hvgoenka,Harsh Goenka,1287316
@kiranshaw,Kiran Mazumdar Shaw,1268859
@KajolAtUN,Kajol,1268703
@Leander,Leander Paes,1202499
@iTIGERSHROFF,Tiger Shroff,1200281
@sundarpichai,Sundar Pichai,1188929
@RajeevMasand,Rajeev Masand,1179534
@gauravcsawant,GAURAV C SAWANT,1176641
@sardanarohit,Rohit Sardana,1130579
@pragyanojha,Pragyan Ojha,1124064
@abishmathew,Abish Mathew,1123741
@cheteshwar1,cheteshwar pujara,1114380
@raftaarmusic,RaftaaR,1099667
@suhasinih,Suhasini Haidar,1059739
@SonuSood,sonu sood,1032839
@Maheshbhupathi,Mahesh Bhupathi,1013594
@BhuviOfficial,Bhuvneshwar Kumar,1011966
@jazzyb,Jazzy B,964670
@itsaadee,Atif Aslam,953327
@PankajAdvani247,Pankaj Advani,944304
@chetrisunil11,Sunil Chhetri,916279
@thearvindswami,arvind swami,835253
@itsSSR,Sushant Singh Rajput,820183
@klrahul11,K L Rahul,807796
@Rjsayema,Mirchi Sayema,780000
@udaykotak,Uday Kotak,776528
@MsKajalAggarwal,Kajal Aggarwal,772211
@MusicThaman,thaman S,771087
@anjanaomkashyap,Anjana Om Kashyap,769432
@waglenikhil,nikhil wagle,726921
@aditiraohydari,Aditi Rao Hydari,699598
@ShivAroor,Shiv Aroor,693498
@VJAnusha,Anusha,681362
@soniandtv,sonia singh,669924
@ipritamofficial,Pritam,666409
@AmritaRao,AMRITA RAO,641524
@PrannoyRoyNDTV,Prannoy Roy,628519
@DineshKarthik,DK,608914
@narainracing,Narain Karthikeyan,604246
@ppbajpai,punya prasun bajpai,601393
@iSharryMann,Sharry Mann,601305
@Ra_THORe,Rajyavardhan Rathore,585821
@thisisysr,Yuvanshankar raja,584831
@OYERJALOK,RJ ALOK,584255
@DianaPenty,Diana Penty,577976
@PrabhuChawla,Prabhu Chawla,566113
@P9Ashwini,Ashwini Ponnappa,536001
@dalermehndi,Daler Mehndi,520211
@vkhosla,Vinod Khosla,518802
@hegdepooja,Pooja Hegde,513734
@ravishndtv,ravish kumar,501808
@ArjunVagale,Arjun Vagale,500000
@dindaashoke,Ashoke Dinda,488176
@DishPatani,Disha Patani,487319
@SingerKumarSanu,Kumar Sanu,474623
@smitaprakash,Smita Prakash,465606
@MangteC,Mary Kom,449606
@shilparao11,Shilpa Rao,444625
@Missnicollet,Sharmila Nicollet,443984
@abhijitmajumder,Abhijit Majumder,414881
@Abhinav_Bindra,Abhinav Bindra,399805
@ArmaanMalik22,ARMAAN MALIK,398934
@tinucherian,Tinu Cherian Abraham,397121
@Sulaiman,sulaiman merchant,396146
@MaliniP,Malini Parthasarathy,396055
@vishy64theking,Viswanathan Anand,382551
@radhika_apte,Radhika Apte,378936
@kabirkhankk,Kabir Khan,372460
@rohanbopanna,Rohan Bopanna,353983
@sampitroda,Sam Pitroda,346427
@dibang,Dibang,336380
@RanaAyyub,Rana Ayyub,333623
@robbieuthappa,Robin Aiyuda Uthappa,332377
@SukshnderShinda,Sukshinder Shinda,321296
@iAmNehaKakkar,Neha Kakkar,316521
@iamyusufpathan,Yusuf Pathan,307182
@rahulsharma,Rahul Sharma,303474
@awasthis,Sumit Awasthi,297891
@anuragkashyap72,Anurag Kashyap,295603
@RavindraGautam_,Ravindra Gautam,293000
@wajidkhan7,Wajid  Khan,287392
@ankurtewari,Ankur Tewari,285000
@SonuKakkar,Sonu Kakkar,279438
@deepigoyal,Deepinder Goyal,277811
@SufiSartaaj,Satinder Sartaaj,266329
@bhupendrachaube,bhupendra chaubey,259123
@VarunAaron,Varun Aaron,252716
@RubikaLiyaquat,Rubika Liyaquat,251044
@ShirleySetia,Shirley Setia,241551
@AmaalMallik,Amaal Mallik,239849
@neetimohan18,Neeti Mohan,233836
@srikidambi,Kidambi Srikanth,226268
@vijayshekhar,Vijay Shekhar,223938
@ADTSinghSharma,Aditi Singh Sharma,221215
@SakshiMalik,Sakshi Malik,218381
@MANJmusik,MANJmusik,217758
@PankajPachauri,Pankaj Pachauri,215098
@Vinay_Kumar_R,Vinay Kumar R,211906
@officiallyAnkit,Ankit Tiwari,210990
@1kunalbahl,Kunal Bahl,207373
@madversity,Madhavan Narayanan,201163
@Benny_Dayal,Benny Dayal,200805
@IAmAnushka,Anushka Manchanda,200663
@amitabhk87,Amitabh Kant,200326
@praveenachary,Praveen Achary,197499
@therealkapildev,Kapil Dev,196923
@avinash,Avinash Kaushik,186707
@ManojTiwariMP,Manoj Tiwari,185598
@THEJAZDHAMI,JAZ DHAMI,185485
@smitapop,Smita,179796
@Advani_Kiara,Kiara Alia Advani,177233
@madhutrehan,madhu trehan,176769
@iamsonalibendre,Sonali Bendre Behl,164322
@rupinderbob3,Rupinder Pal Singh,163300
@SachinKalbag,Sachin Kalbag,162715
@PoonamHockey,Poonam Rani Malik 15,161800
@geethasinger,SingerGeethaMadhuri,160122
@JasmineSandlas,Jasmine Sandlas,151662
@anubhabhonsle,Anubha Bhonsle,146664
@maheshmurthy,Mahesh Murthy,146238
@jassi1gill,Jassie Gill,144961
@DipaKarmakar,Dipa Karmakar,141279
@ImHarmanpreet,Harmanpreet Kaur,141013
@parupallik,Parupalli Kashyap,138335
@karunchandhok,Karun Chandhok,138324
@drzeusworld,Dr Zeus,137902
@sonamohapatra,SONA,136118
@praveenkumar,praveen kumar,136063
@HeenaSidhu10,Heena SIDHU,135814
@mihirssharma,Mihir Sharma,134782
@TulsikumarTK,Tulsi Kumar,133918
@geeta_phogat,geeta phogat,132974
@ajitanjum,Ajit Anjum,127888
@saikatd,Saikat Datta,125550
@BabitaPhogat,Babita Phogat,123808
@shilpitewari,shilpi tewari,121443
@KishoreAjwani,Kishore Ajwani,120271
@UnmuktChand9,Unmukt Chand,120172
@_sachinbansal,Sachin Bansal,119928
@16Sreejesh,sreejesh p r,119631
@MidivalPunditz,Midival Punditz,118558
@manakgupta,Manak Gupta,118357
@dhanyarajendran,Dhanya Rajendran,117655
@DipikaPallikal,Dipika Pallikal,113850
@dhume,Sadanand Dhume,111451
@nehapant19,Neha Pant,111305
@YRDeshmukh,Yashwant Deshmukh,108116
@TheKanikakapoor,kanika kapoor,106978
@PRANNOYHSPRI,PRANNOY HS,106121
@virenrasquinha,Viren Rasquinha,104919
@SharadTalks,Sharad Sagar,104582
@WrestlerSushil,Sushil Kumar,103916
@RFAKWorld,Rahat Fateh Ali Khan,101816
@atul_kulkarni,atul kulkarni,101502
@SwetaSinghAT,Sweta Singh,100274
@phogat_vinesh,Vinesh Phogat,99813
@HarshdeepKaur,Harshdeep Kaur,98242
@chakrabortty,Aditya Chakrabortty,96311
@AKRITIMUSIC,AKRITI KAKAR,92123
@AdityaRajKaul,Aditya Raj Kaul,92028
@singersrinivas,Srinivas singer,90746
@gaGunNarang,Gagan Narang,89026
@palakmuchhal3,Palak Muchhal,88951
@chitraSD,Chitra Subramaniam,86885
@SomdevD,Somdev Devvarman,86315
@sumairakh,sumaira,85597
@sumanthraman,Sumanth Raman,85488
@SuPriyoBabul,Babul Supriyo,85058
@ShereenBhan,Shereen Bhan,84439
@BabbuMaan,Babbu Maan,84000
@raghuvendras,Raghuvendra Singh,83213
@ShwetaPandit7,Shweta Pandit,82044
@RazdanNidhi,Razdan Nidhi,80700
@K_K_Pal,KK,80689
@RakeyshOmMehra,Rakeysh Mehra,78923
@_MohitChauhan,Mohit Chauhan,76062
@_soniashenoy,Sonia Shenoy,74903
@sahilkapur,Sahil Kapur,74780
@pranavmistry,Pranav Mistry,71096
@MusicByRR,RISHI RICH,67770
@bainjal,Swati Chaturvedi,66477
@itsAmitTrivedi,Amit Trivedi,60392
@AMISHDEVGAN,AMISH DEVGAN,60100
@nistula,Nistula Hebbar,57351
@BecauseImFreida,Freida Pinto,56206
@RakeshRoshan_N,Rakesh Roshan,56084
@shivathapa,Shiva Thapa,55529
@kunalb11,Kunal Shah,54317
@Sanam_Official,SANAM,53959
@sanjaypugalia,Sanjay Pugalia,53712
@neeleshmisra,Neelesh Misra,52269
@rvijayprakash,vijay prakash,51916
@nikesharora,Nikesh Arora,51576
@RifatJawaid,Rifat Jawaid,51228
@roachkilla1,Roach Killa,50788
@amritat,amrita tripathi,50396
@itsShalmali,Shalmali Kholgade,49674
@palkisu,palki sharma,49443
@binnybansal,binnybansal,47599
@APanagariya,Arvind Panagariya,47555
@TheRichaSharma,Richa Sharma,47241
@karshkalemusic,KARSH KALE,47120
@TonyKakkar,Tony Kakkar,47005
@manukumarjain,Manu Kumar Jain,46960
@HDHAMIMUSIC,H DHAMI,46715
@chopraanjum,Anjum Chopra,46714
@milindkhandekar,milind khandekar,46657
@rahulpandita,Rahul Pandita,46033
@bhash,Bhavish Aggarwal,44555
@rohitkbansal,Rohit Bansal,44023
@sidpatankar,Siddharth V Patankar,43967
@singer_karthik,Karthik singer,43216
@JuggyD,JUGGY D,40341
@nixxin,Nikhil Pahwa,40028
@robin_singh_23,robin singh,39712
@NaveenTewari,Naveen Tewari,39162
@GANESHHEGDE,GANESH HEGDE,38509
@_anujsinghal,Anuj Singhal,36773
@PhogatRitu,WrestlerRitu,36166
@YWalmiki,Yuvraj Walmiki,36152
@joshnachinappa,Joshna Chinappa,35569
@DippsBhamrah,Dipps Bhamrah,35456
@vvpreetham,Preetham V V,34179
@varinder_bansal,Varinder Bansal,33388
@DWalmiki,Devindar Walmiki,33340
@vishalgondal,Vishal Gondal,32932
@RShivshankar,Rahul Shivshankar,32918
@PadmajaJoshi,Padmaja joshi,31867
@jonitamusic,Jonita,31218
@menakadoshi,menaka doshi,29815
@HarshitHaaleDil,Harshit Saxena,29055
@beastoftraal,Karthik,28548
@ajay_289,Ajay Jayaram,27920
@rodinhood,Alok Kejriwal,27536
@abhijeetsawant5,Abhijeetsawant,27195
@Rukmini,Rukmini S,26764
@SachinJigarLive,Sachin-Jigar,24828
@Renuks,Renuka Kirpalani,24577
@PapaCJ,Papa CJ,24200
@VaniKola,Vani Kola,23314
@BoxerManojkr,Manoj Kumar,23000
@shraddhasharma6,Shraddha Sharma,22664
@hari,hari sreenivasan,22385
@Zakka_Jacob,Zakka Jacob,22171
@ravigururaj,Ravi Gururaj,21577
@cnha,ashish sinha,21060
@shashj,Shashank Joshi,19809
@aditigolf,Aditi Ashok,19574
@Joydeep709,joydeep karmakar,18921
@riteshagar,Ritesh Agarwal,18588
@thesuniljain,Sunil Jain,18555
@Vijay_Amritraj,Vijay Amritraj,17934
@satyan,Satyan Gajwani,17835
@geetssethi,Geet Sethi,17094
@apurvichandela,Apurvi Chandela,16928
@Uthappask,Uthappa SK,16586
@NavinKundra,Navin Kundra,15892
@anandc,Anand Chandrasekaran,15708
@hellosatnam,Satnam Singh Bhamara,14634
@shiladitya,Shiladitya M,14300
@iamVkohli,Virat Kohli Fan,14110
@rameshmashelkar,Raghunath Mashelkar,13923
@punitsoni,punitsoni,13844
@jackerhack,Kiran Jonnalagadda,13751
@kavinbm,Kavin Bharti Mittal,13188
@mahafreed,mahafreed,12874
@imranirampal,Rani Rampal,12153
@anuradhagoyal,Anuradha Goyal,11648
@bhatnaturally,bhatnaturally,11400
@Mann_meetbros,Manmeet- Meet Bros,11227
@javedali4u,Javed Ali,11157
@jub_in,Jubin Mehta,10738
@annkur,Ankur Agarwal,10720
@sampad,Sampad Swain,10688
@AnupamMittal,Anupam Mittal,10661
@deepakabbot,Deepak Abbot,10644
@narayananh,Narayanan Hariharan,10461
@AtriManu,Manu Atri,10443
@anirbangolf,Anirban Lahiri,10297
@AzizNakash,Nakash Aziz,9623
@amitsomani,Amit Somani,9260
@manpreetpawar07,Manpreet Singh,9024
@shashanknd,Shashank ND,8906
@madarassi,Ramanathan S,8889
@raghuhock,Raghunath VR,8803
@avlesh,Avlesh Singh,8495
@AyonikaPaul,Ayonika Paul,8357
@avinashraghava,Avinash Raghava,8084
@aslidivyakumar,divya kumar,8051
@nehabhasin4u,Neha Bhasin,8009
@irohan,Rohan Dighe,7984
@BeingPractical,PJ,7882
@helloanand,Anand Jain,7848
@2shar,Tushar Kanwar,7529
@tsuvik,Vikas SN,7357
@sahilk,Sahil Khan,6776
@unitechy,Apurva Chaudhary,6538
@1mastersaleem,Master Saleem,6488
@krisnair,DJ Steves,6166
@_mekin,Mekin,6143
@1ndus,Indus Khaitan,6074
@MeetBrosHarmeet,Befikra Harmeet,6051
@Abhigyan_AP,Abhigyan Prakash,5825
@akumar,Amit Kumar,5682
@hiway,Harshad Sharma,5518
@nowentrepreneur,Kulin Shah,5214
@zainabbawa,Zainab Bawa,5036
@MoumaDasTT,Mouma Das,4977
@Pritha88,Pritha Chatterjee,4684
@narlak,Narayan Lakshman,4611
@miten,miten,4394
@paraschopra,Paras Chopra,4126
@vijaysw,Vijay Sharma,4085
@gkgandhi,Gautam Gandhi,4085
@Sreeram_singer,Sreerama Chandra,4016
@rinashah,Rina (Shah) Chhadwa,3995
@mandeepsingh995,Mandeep Singh,3927
@srinistuff,Srinivas Kulkarni,3846
@tusharkhandker,Tushar khandker,3821
@anusharma,Anu Sharma,3568
@mahesh10feb,Mahesh Narayanan,3441
@arjunram,Arjun Ram,3312
@SparklinGuy,Himanshu Khanna,3057
@NamanSr,Naman Sarawagi,2731
@prajyotm,Prajyot Mainkar,2609
@Namitaved,Namita Ved,2399
@codelust,Shyam,2182
@geetanjalic,Geetanjali Chitnis,2161
@SVSunil24,SV Sunil,2130
@zenx,Sameer Shisodia,1984
@aniruddhg1,Aniruddha Ghosal,1969
@devenGoa,Deven Shah,1464
@pindilahoria13,Parvinder Singh,1280
@pocha,pocha,1129
@deobrat,Deobrat,899
@GanatraT,TG,746
@StonyPsyko,Tony Sebastian,339
